PAGES=7 WORDS=3743 PARAS=280 TABLES=10 SECTIONS=1
PAGESETUP top=35.45 bottom=35.45 left=35.45 right=35.45 w=595.3 h=841.9
TABLE #1: rows=1 cols=2
TABLE #2: rows=5 cols=2
TABLE #3: rows=8 cols=4
TABLE #4: rows=2 cols=2
TABLE #5: rows=2 cols=2
TABLE #6: rows=2 cols=2
TABLE #7: rows=2 cols=2
TABLE #8: rows=2 cols=2
TABLE #9: rows=2 cols=2
TABLE #10: rows=8 cols=3
----- PARA MAP: idx | inTbl | style | font | size | bold | align | LSrule | before/after | textlen | text -----
1 | T | 표준 | Arial | 23 | -1 | 0 | 5 | 0/0 | 11 | Joonha Lee
2 | T | 표준 | Arial | 13 | -1 | 0 | 0 | 0/0 | 62 | Field Application Engineer (FAE) - ITT Cannon Connector Korea
3 | T | 표준 | Arial | 10 | 0 | 0 | 0 | 0/0 | 73 | Gunpo-si, Gyeonggi-do, Korea | +82-10-2731-4581 | leejunha781@gmail.com
4 | T | 표준 | Arial | 10 | 0 | 2 | 5 | 0/10 | 3 | /
5 | T | 표준 | Arial | 10 | 0 | 0 | 5 | 0/10 | 2 | 
6 | . | 표준 | Arial | 14 | -1 | 0 | 0 | 8/3 | 57 | Professional Profile and Interest in ITT Cannon FAE Role
7 | . | 표준 | Arial | 10 | 0 | 0 | 0 | 0/3 | 314 | Field Application Engineer candidate with 21+ years of experience in high-reliability
8 | . | 표준 | Arial | 10 | 0 | 0 | 0 | 0/3 | 1247 | I am strongly interested in ITT Cannon Connector Korea because the FAE role directly 
9 | . | 표준 | Arial | 10 | 0 | 0 | 0 | 0/3 | 361 | At ITT Cannon, I can contribute by capturing Voice of Customer, identifying system de
10 | . | 표준 | Arial | 10 | 0 | 0 | 0 | 0/3 | 1 | 
11 | . | 표준 | Arial | 14 | -1 | 0 | 0 | 8/3 | 45 | Key Strengths Matched to ITT Cannon FAE Role
12 | . | 글머리 기호 | Arial | 10 | 9999999 | 0 | 0 | 0/3 | 300 | Aerospace & Defense / Military Customer Background: 15+ years supporting ROK Navy shi
13 | . | 글머리 기호 | Arial | 10 | 9999999 | 0 | 0 | 0/3 | 538 | Connector, Cable and System Interface Understanding: Practical understanding of RF ca
14 | . | 글머리 기호 | Arial | 10 | 9999999 | 0 | 0 | 0/3 | 218 | Customer Engineering Engagement: Able to act as the technical bridge between customer
15 | . | 글머리 기호 | Arial | 10 | 9999999 | 0 | 0 | 0/3 | 225 | Application Issue Solving and Root-Cause Analysis: Strong issue-solving discipline us
16 | . | 글머리 기호 | Arial | 10 | 9999999 | 0 | 0 | 0/3 | 254 | New Design / Product Development Support: Experienced in translating customer require
17 | . | 글머리 기호 | Arial | 10 | 9999999 | 0 | 0 | 0/3 | 203 | Technical Presentations and Solution Proposals: Prepared technical proposals, project
